# ra	dec	mag	bv	bayer	flamsteed	constellation
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
189.2958	-69.1356	2.69	-0.20	α		Mus
262.6908	-37.2958	2.69	-0.22	υ	34	Sco
109.2858	-37.0975	2.70	+1.62	π		Pup
221.2467	27.0742	2.70	+0.97	ε	36	Boo
275.2487	-29.8281	2.70	+1.38	δ	19	Sgr
296.5650	10.6133	2.72	+1.52	γ	50	Aql
243.5863	-3.6944	2.74	+1.58	δ	1	Oph
245.9979	61.5142	2.74	+0.91	η	14	Dra
200.1492	-36.7122	2.75	+0.04	ι		Cen
222.7196	-16.0417	2.75	+0.15	α²	9	Lib
160.7392	-64.3944	2.76	-0.22	θ		Car
83.8583	-5.9100	2.77	-0.24	ι	44	Ori
247.5550	21.4897	2.77	+0.94	β	27	Her
265.8683	4.5672	2.77	+1.16	β	60	Oph
233.7854	-41.1669	2.78	-0.20	γ		Lup
76.9625	-5.0864	2.79	+0.13	β	67	Eri
262.6083	52.3014	2.79	+0.98	β	23	Dra
6.4379	-77.2542	2.80	+0.62	β		Hyi
183.7862	-58.7489	2.80	-0.23	δ		Cru
121.8858	-24.3042	2.81	+0.43	ρ	15	Pup
250.3217	31.6031	2.81	+0.65	ζ	40	Her
276.9925	-25.4217	2.81	+1.04	λ	22	Sgr
248.9708	-28.2161	2.82	-0.25	τ	23	Sco
3.3092	15.1836	2.83	-0.23	γ	88	Peg
195.5442	10.9592	2.83	+0.94	ε	47	Vir
82.0613	-20.7594	2.84	+0.82	β	9	Lep
58.5329	31.8836	2.85	+0.12	ζ	44	Per
238.7854	-63.4306	2.85	+0.29	β		TrA
261.3250	-55.5300	2.85	+1.46	β		Ara
29.6925	-61.5697	2.86	+0.28	α		Hyi
334.6254	-60.2597	2.86	+1.39	α		Tuc
56.8713	24.1050	2.87	-0.09	η	25	Tau
296.2437	45.1308	2.87	-0.03	δ	18	Cyg
326.7600	-16.1272	2.87	+0.29	δ	49	Cap
95.7400	22.5136	2.88	+1.64	μ	13	Gem
113.6500	31.8886	2.88	+0.04	α	66	Gem
59.4633	40.0103	2.89	-0.18	ε	45	Per
229.7275	-68.6794	2.89	0.00	γ		TrA
239.7129	-26.1142	2.89	-0.19	π	6	Sco
245.2971	-25.5928	2.89	+0.13	σ	20	Sco
287.4408	-21.0236	2.89	+0.35	π	41	Sgr
111.7875	8.2894	2.90	-0.09	β	3	CMi
194.0071	38.3183	2.90	-0.12	α²	12	CVn
322.8896	-5.5711	2.91	+0.83	β	22	Aqr
46.1992	53.5064	2.93	+0.70	γ	23	Per
102.4842	-50.6147	2.93	+1.20	τ		Pup
340.7504	30.2214	2.94	+0.86	η	44	Peg
59.5075	-13.5086	2.95	+1.59	γ	34	Eri
187.4663	-16.5156	2.95	-0.05	δ	7	Crv
262.9604	-49.8761	2.95	-0.17	α		Ara
331.4458	-0.3197	2.96	+0.98	α	34	Aqr
100.9829	25.1311	2.98	+1.40	ε	27	Gem
146.4629	23.7742	2.98	+0.80	ε	17	Leo
75.4921	43.8233	2.99	+0.54	ε	7	Aur
271.4521	-30.4242	2.99	+1.00	γ²	10	Sgr
286.3525	13.8633	2.99	+0.01	ζ	17	Aql
32.3858	34.9872	3.00	+0.14	β	4	Tri
84.4113	21.1425	3.00	-0.19	ζ	123	Tau
182.5312	-22.6197	3.00	+1.33	ε	2	Crv
199.7304	-23.1717	3.00	+0.92	γ	46	Hya
55.7313	47.7875	3.01	-0.13	δ	39	Per
146.7754	-65.0719	3.01	+0.28	υ		Car
167.4158	44.4986	3.01	+1.14	ψ	52	UMa
328.4821	-37.3650	3.01	-0.12	γ		Gru
95.0783	-30.0633	3.02	-0.19	ζ	1	CMa
105.7562	-23.8333	3.02	-0.08	ο²	24	CMa
218.0196	38.3083	3.03	+0.19	γ	27	Boo
266.8963	-40.1269	3.03	+0.51	ι¹		Sco
34.8362	-2.9775	3.04	+1.42	ο	68	Cet
207.4042	-42.4739	3.04	-0.17	μ		Cen
155.5821	41.4994	3.05	+1.59	μ	34	UMa
191.5704	-68.1081	3.05	-0.18	β		Mus
230.1821	71.8339	3.05	+0.05	γ	13	UMi
288.1388	67.6617	3.07	+1.00	δ	57	Dra
252.9675	-38.0475	3.08	-0.20	μ¹		Sco
292.6804	27.9597	3.08	+1.13	β¹	6	Cyg
305.2529	-14.7814	3.08	+0.79	β	9	Cap
133.8483	5.9456	3.11	+1.00	ζ	16	Hya
162.4062	-16.1936	3.11	+1.25	ν		Hya
274.4067	-36.7617	3.11	+1.56	η		Sgr
309.3917	-47.2914	3.11	+1.00	α		Ind
87.7400	-35.7683	3.12	+1.16	β		Col
140.2637	34.3925	3.13	+1.55	α	40	Lyn
142.8054	-57.0344	3.13	+1.55			
173.9450	-63.0197	3.13	-0.04	λ		Cen
224.7904	-42.1042	3.13	-0.20	κ		Cen
254.6550	-55.9903	3.13	+1.60	ζ		Ara
134.8017	48.0417	3.14	+0.19	ι	9	UMa
258.7579	24.8392	3.14	+0.08	δ	65	Her
258.7617	36.8092	3.16	+1.44	π	67	Her
76.6287	41.2344	3.17	-0.18	η	10	Aur
99.4404	-43.1961	3.17	-0.11	ν		Pup
143.2142	51.6772	3.17	+0.46	θ	25	UMa
257.1967	65.7147	3.17	-0.12	ζ	22	Dra
281.4142	-26.9908	3.17	-0.11	φ	27	Sgr
72.4600	6.9614	3.19	+0.45	π³	1	Ori
76.3654	-22.3711	3.19	+1.46	ε	2	Lep
220.6267	-64.9753	3.19	+0.24	α		Cir
254.4171	9.3750	3.20	+1.15	κ	27	Oph
318.2342	30.2269	3.20	+0.99	ζ	64	Cyg
267.4646	-37.0433	3.21	+1.17			
354.8367	77.6325	3.21	+1.03	γ	35	Cep
230.3429	-40.6475	3.22	-0.22	δ		Lup
302.8263	-0.8214	3.23	-0.07	θ	65	Aql
322.1650	70.5608	3.23	-0.22	β	8	Cep
44.5654	-40.3047	3.24	+0.14	θ¹		Eri
56.8096	-74.2389	3.24	+1.62	γ		Hyi
244.5804	-4.6925	3.24	+0.96	ε	2	Oph
284.7358	32.6894	3.24	-0.05	γ	14	Lyr
112.3075	-43.3014	3.25	+1.51	σ		Pup
275.3275	-2.8989	3.26	+0.94	η	58	Ser
9.8321	30.8608	3.27	+1.28	δ	31	And
68.4992	-55.0450	3.27	-0.10	α		Dor
102.0475	-61.9414	3.27	+0.21	α		Pic
211.5929	-26.6825	3.27	+1.12	π	49	Hya
260.5025	-24.9994	3.27	-0.22	θ	42	Oph
343.6625	-15.8208	3.27	+0.05	δ	76	Aqr
93.7192	22.5067	3.28	+1.60	η	7	Gem
226.0175	-25.2819	3.29	+1.70	σ	20	Lib
231.2325	58.9661	3.29	+1.16	ι	12	Dra
16.5208	-46.7186	3.31	+0.89	β		Phe
78.2329	-16.2056	3.31	-0.11	μ	5	Lep
183.8567	57.0325	3.31	+0.08	δ	69	UMa
153.4342	-70.0381	3.32	-0.08	ω		Car
158.0058	-61.6853	3.32	-0.09			
286.7350	-27.6706	3.32	+1.19	τ	40	Sgr
258.0383	-43.2392	3.33	+0.41	η		Sco
117.3237	-24.8597	3.34	+1.24	ξ	7	Pup
168.5600	15.4294	3.34	-0.01	θ	70	Leo
261.3483	-56.3775	3.34	-0.13	γ		Ara
269.7567	-9.7736	3.34	+0.99	ν	64	Oph
63.6062	-62.4739	3.35	+0.91	α		Ret
332.7138	58.2011	3.35	+1.57	ζ	21	Cep
81.1192	-2.3969	3.36	-0.17	η	28	Ori
101.3225	12.8956	3.36	+0.43	ξ	31	Gem
127.5662	60.7181	3.36	+0.84	ο	1	UMa
291.3746	3.1147	3.36	+0.32	δ	30	Aql
203.6733	-0.5958	3.37	+0.11	ζ	79	Vir
230.6704	-44.6894	3.37	-0.18	ε		Lup
28.5987	63.6700	3.38	-0.15	ε	45	Cas
131.6942	6.4189	3.38	+0.68	ε	11	Hya
193.9008	3.3975	3.38	+1.58	δ	43	Vir
46.2942	38.8403	3.39	+1.65	ρ	25	Per
67.1654	15.8708	3.40	+0.18	θ²	78	Tau
154.2708	-61.3322	3.40	+1.54			
340.3654	10.8314	3.40	-0.09	ζ	42	Peg
22.0913	-43.3183	3.41	+1.57	γ		Phe
28.2704	29.5789	3.41	+0.49	α	2	Tri
207.3762	-41.6878	3.41	-0.22	ν		Cen
228.0712	-52.0992	3.41	+0.92	ζ		Lup
240.0304	-38.3969	3.41	-0.22	η		Lup
266.6146	27.7206	3.42	+0.75	μ	86	Her
311.2396	-66.2031	3.42	+0.16	β		Pav
311.3225	61.8389	3.43	+0.92	η	3	Cep
12.2750	57.8158	3.44	+0.57	η	24	Cas
137.7417	-58.9669	3.44	-0.19			
154.1725	23.4172	3.44	+0.31	ζ	36	Leo
286.5621	-4.8825	3.44	-0.09	λ	16	Aql
17.1475	-10.1822	3.45	+1.16	η	31	Cet
154.2742	42.9144	3.45	+0.03	λ	33	UMa
282.5200	33.3628	3.45	0.00	β	10	Lyr
40.8250	3.2358	3.47	+0.09	γ	86	Cet
60.1700	12.4903	3.47	-0.12	λ	35	Tau
105.4296	-27.9347	3.47	+1.73	σ	22	CMa
119.1946	-52.9822	3.47	-0.18	χ		Car
228.8758	33.3147	3.47	+0.95	δ	49	Boo
299.6892	19.4922	3.47	+1.57	γ	12	Sge
169.6196	33.0942	3.48	+1.40	ν	54	UMa
258.6621	14.3903	3.48	+1.44	α¹	64	Her
342.5008	24.6017	3.48	+0.93	μ	48	Peg
342.1388	-51.3169	3.49	+0.08	ε		Gru
26.0171	-15.9375	3.50	+0.72	τ	52	Cet
225.4867	40.3906	3.50	+0.97	β	42	Boo
276.7433	-45.9683	3.51	-0.17	α		Tel
284.4325	-21.1067	3.51	+1.18	ξ²	37	Sgr
124.1288	9.1856	3.52	+1.48	β	17	Cnc
145.2875	9.8922	3.52	+0.49	ο	14	Leo
151.8333	16.7628	3.52	-0.03	η	30	Leo
342.4200	66.2006	3.52	+1.05	ι	32	Cep
67.1542	19.1803	3.53	+1.01	ε	74	Tau
110.0308	21.9822	3.53	+0.34	δ	55	Gem
237.4050	-3.4303	3.53	-0.04	μ	32	Ser
250.7242	38.9222	3.53	+0.92	η	44	Her
332.5500	6.1978	3.53	+0.08	θ	26	Peg
55.8121	-9.7633	3.54	+0.92	δ	23	Eri
83.7846	9.9342	3.54	-0.18	λ	39	Ori
149.2158	-54.5678	3.54	-0.08	φ		Vel
173.2504	-31.8578	3.54	+0.94	ξ		Hya
264.3967	-15.3986	3.54	+0.26	ξ	55	Ser
86.7387	-14.8219	3.55	+0.10	ζ	14	Lep
214.8508	-46.0578	3.55	-0.18	ι		Lup
4.8571	-8.8239	3.56	+1.22	ι	8	Cet
34.1275	-51.5122	3.56	-0.12	φ		Eri
64.4737	-33.7983	3.56	-0.12	υ⁴	41	Eri
169.8354	-14.7786	3.56	+1.12	δ	12	Crt
230.4517	-36.2614	3.56	+1.54	φ¹		Lup
302.1817	-66.1819	3.56	+0.76	δ		Pav
24.4983	48.6283	3.57	+1.28		51	And
116.1117	24.3981	3.57	+0.93	κ	77	Gem
253.0838	-38.0175	3.57	-0.21	μ²		Sco
275.2642	72.7328	3.57	+0.49	χ	44	Dra
304.5137	-12.5447	3.57	+0.94	α²	6	Cap
109.5233	16.5403	3.58	+0.11	λ	54	Gem
217.9575	30.3714	3.58	+1.30	ρ	25	Boo
234.2562	-28.1350	3.58	+1.38	υ	39	Lib
185.3400	-60.4011	3.59	+1.42	ε		Cru
21.0058	-8.1833	3.60	+1.06	θ	45	Cet
51.2033	9.0289	3.60	+0.89	ο	1	Tau
79.4017	-6.8444	3.60	-0.11	τ	20	Ori
86.1158	-22.4483	3.60	+0.47	γ	13	Lep
103.1971	33.9611	3.60	+0.10	θ	34	Gem
135.9062	47.1567	3.60	0.00	κ	12	UMa
142.6750	-40.4667	3.60	+0.36	ψ		Vel
116.3137	-37.9686	3.61	+1.73			
152.6471	-12.3542	3.61	+1.01	λ	41	Hya
177.6738	1.7647	3.61	+0.55	β	5	Vir
22.8708	15.3458	3.62	+0.97	η	99	Psc
130.0733	-52.9219	3.62	-0.18			
195.5675	-71.5489	3.62	+1.18	δ		Mus
253.6458	-42.3614	3.62	+1.37	ζ²		Sco
262.7746	-60.6839	3.62	-0.10	δ		Ara
266.4333	-64.7239	3.62	+1.19	η		Pav
345.4804	42.3261	3.62	-0.09	ο	1	And
42.4958	27.2606	3.63	-0.10		41	Ari
57.2904	24.0533	3.63	-0.09		27	Tau
309.3875	14.5953	3.63	+0.44	β	6	Del
176.4017	-66.7286	3.64	+0.16	λ		Mus
64.9483	15.6275	3.65	+0.99	γ	54	Tau
190.4150	-1.4494	3.65	+0.36	γ	29	Vir
211.0971	64.3758	3.65	-0.05	α	11	Dra
313.7025	-58.4542	3.65	+1.25	β		Ind
9.2429	53.8969	3.66	-0.20	ζ	17	Cas
234.6642	-29.7778	3.66	-0.17	τ	40	Lib
271.6579	-50.0917	3.66	-0.08	θ		Ara
347.3617	-21.1725	3.66	+1.22		88	Aqr
142.8821	63.0619	3.67	+0.33		23	UMa
