# ra	dec	mag	bv	bayer	flamsteed	constellation	pmra_mas	pmdec_mas
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
# pmra_mas is the PROJECTED motion cos(dec).d(ra)/dt, as the catalogue states it.
255.7825	14.0919	4.98	+1.60				23.0	-64.0
272.9308	-23.7011	4.98	+1.05		11	Sgr	17.0	-19.0
275.9771	58.8006	4.98	+0.08		39	Dra	-39.0	60.0
284.0608	4.2019	4.98	+0.20	θ²	63	Ser	49.0	26.0
349.7404	-9.6108	4.98	-0.02	ψ³	95	Aqr	47.0	-2.0
351.2096	62.2828	4.98	+1.68		4	Cas	11.0	-13.0
353.4883	31.3253	4.98	+1.38		72	Peg	52.0	-16.0
25.6812	-3.6903	4.99	+1.38				-7.0	-32.0
29.0000	68.6853	4.99	-0.10	ω	46	Cas	13.0	-11.0
44.6992	-64.0714	4.99	+0.13	β		Hor	22.0	1.0
81.1633	37.3856	4.99	+1.42	σ	21	Aur	1.0	-8.0
81.1058	17.3833	4.99	+0.53		111	Tau	246.0	-9.0
88.7117	55.7069	4.99	+0.05	ξ	30	Aur	-13.0	20.0
102.7183	-34.3672	4.99	+1.38				7.0	6.0
105.7283	-4.2392	4.99	-0.20		19	Mon	-3.0	3.0
111.4121	9.2761	4.99	+1.01	ε	2	CMi	-6.0	-11.0
115.7517	58.7103	4.99	+0.08		24	Lyn	-37.0	-51.0
123.3333	-15.7883	4.99	+1.07		20	Pup	-13.0	-4.0
127.3650	-44.7250	4.99	-0.16				4.0	-3.0
155.7421	-66.9017	4.99	-0.13				-24.0	8.0
165.1867	6.1014	4.99	+0.16		59	Leo	-48.0	-25.0
170.7067	43.4828	4.99	+0.99		56	UMa	-38.0	-13.0
191.2825	45.4403	4.99	+2.54				-1.0	15.0
239.8762	-41.7444	4.99	+1.00				-40.0	-18.0
240.3608	29.8511	4.99	-0.07	ι	14	CrB	-39.0	-9.0
244.2538	-50.0683	4.99	+0.80	γ¹		Nor	-5.0	-4.0
283.7796	-22.6714	4.99	+1.33	ν²	35	Sgr	103.0	-26.0
286.6046	-37.0633	4.99	+0.52	γ		CrA	96.0	-274.0
288.4800	57.7050	4.99	+1.16		54	Dra	-10.0	-70.0
296.6067	33.7278	4.99	+0.47		17	Cyg	23.0	-446.0
301.0817	-32.0564	4.99	+1.21				47.0	-15.0
332.1083	-34.0439	4.99	+1.48	υ		PsA	8.0	-49.0
55.5621	-31.9383	5.00	-0.16	δ		For	9.0	14.0
59.2846	61.1089	5.00	+1.45				-4.0	-15.0
76.6692	51.5978	5.00	+0.33		9	Aur	-30.0	-173.0
76.8625	18.6450	5.00	+0.65		104	Tau	537.0	16.0
80.7083	3.5444	5.00	-0.15		23	Ori	-4.0	-2.0
104.0275	-14.0436	5.00	+1.18	μ	18	CMa	-1.0	5.0
108.3429	16.1589	5.00	+1.66		51	Gem	13.0	-42.0
137.7683	-44.8681	5.00	+0.23				-1.0	2.0
144.3029	6.8358	5.00	+1.05		10	Leo	-60.0	1.0
160.7671	69.0761	5.00	+1.38				2.0	-12.0
170.8029	-36.1647	5.00	+1.46				-20.0	0.0
184.1254	33.0614	5.00	+1.14				-53.0	-111.0
184.7488	-55.1431	5.00	+1.59				-76.0	-14.0
186.7471	26.8256	5.00	+0.08		16	Com	-6.0	-11.0
230.5346	-47.9278	5.00	+0.50	ν¹		Lup	-140.0	-137.0
240.8358	-25.8653	5.00	+1.22				-71.0	-38.0
242.0187	17.0469	5.00	+0.95	κ	7	Her	-32.0	-7.0
246.9958	68.7681	5.00	-0.06		15	Dra	-25.0	36.0
260.0788	18.0572	5.00	+1.62				9.0	-55.0
271.8700	43.4617	5.00	+0.91				2.0	-60.0
293.6454	19.7733	5.00	-0.09		9	Vul	8.0	2.0
297.2446	19.1422	5.00	+0.10	ζ	8	Sge	21.0	30.0
319.6133	43.9458	5.00	-0.01		68	Cyg	6.0	-9.0
345.0213	56.9453	5.00	+1.42				0.0	-3.0
354.9462	-14.2217	5.00	+0.24	ω¹	102	Aqr	57.0	-38.0
359.3967	-64.2983	5.00	+0.06	η		Tuc	86.0	-68.0
35.7179	-73.6458	5.01	+1.09	κ		Hyi	-83.0	10.0
69.7233	-12.1231	5.01	+0.07				-53.0	-11.0
93.9371	-13.7183	5.01	-0.08				11.0	-9.0
92.8125	-65.5894	5.01	+1.62	η²		Dor	-26.0	112.0
112.4529	27.9161	5.01	+1.11		65	Gem	-34.0	-24.0
118.0654	-34.7053	5.01	+0.44				-194.0	243.0
128.6817	-49.9442	5.01	+1.33				-12.0	16.0
143.3021	-21.1158	5.01	+1.02				-20.0	15.0
143.5367	-51.2553	5.01	-0.18				-3.0	4.0
205.4363	-54.5600	5.01	-0.05				-48.0	-47.0
205.4033	-8.7031	5.01	+1.63		82	Vir	-94.0	40.0
209.1425	27.4919	5.01	+1.42		9	Boo	28.0	-48.0
213.0658	2.4094	5.01	-0.12				-42.0	-26.0
285.3600	46.9347	5.01	+0.19		16	Lyr	20.0	-84.0
290.1371	-5.4158	5.01	+0.92		26	Aql	116.0	48.0
313.6400	28.0575	5.01	+1.48		32	Vul	0.0	-2.0
324.2375	40.4136	5.01	+0.18		74	Cyg	-1.0	13.0
326.9342	-30.8983	5.01	+0.04	θ	10	PsA	-32.0	2.0
335.3796	12.2053	5.01	-0.13		31	Peg	9.0	6.0
0.5829	-29.7203	5.01	-0.15	ζ		Scl	19.0	16.0
75.5408	-26.2750	5.02	+1.07				89.0	-73.0
78.8517	32.6878	5.02	+0.23		14	Aur	-24.0	14.0
91.8817	-37.2531	5.02	-0.11	θ		Col	2.0	-5.0
100.7708	44.5244	5.02	+1.48	ψ⁴	55	Aur	-42.0	-28.0
102.6912	41.7814	5.02	+1.27	ψ7	58	Aur	-24.0	-136.0
158.2371	-47.0033	5.02	+1.04				-19.0	3.0
186.4621	39.0186	5.02	+0.96		6	CVn	-78.0	-32.0
188.7825	18.3769	5.02	+1.15		24	Com	-6.0	23.0
229.2746	71.8239	5.02	+1.37		11	UMi	7.0	11.0
232.7325	40.8331	5.02	+1.59	ν¹	52	Boo	11.0	-7.0
232.9458	40.8994	5.02	+0.07	ν²	53	Boo	-17.0	-9.0
246.3967	-23.4472	5.02	+0.24	ρ	5	Oph	2.0	-18.0
267.2679	50.7811	5.02	+0.02		30	Dra	-48.0	211.0
281.2079	2.0600	5.02	-0.06		4	Aql	9.0	-18.0
299.4875	-15.4914	5.02	+0.05		61	Sgr	17.0	-101.0
318.3354	-70.1264	5.02	+1.58	ο		Pav	40.0	-25.0
2.5804	46.0722	5.03	+0.40		22	And	8.0	0.0
17.0038	43.9419	5.03	+0.11		41	And	165.0	-70.0
31.6412	22.6483	5.03	+0.11	κ	12	Ari	18.0	-35.0
34.7375	28.6425	5.03	+0.04		10	Tri	11.0	-6.0
49.0508	50.9378	5.03	+1.15				-7.0	-16.0
49.7817	50.0950	5.03	-0.06		31	Per	23.0	-25.0
59.3563	63.0722	5.03	-0.09				10.0	5.0
67.2092	13.0475	5.03	+0.23		79	Tau	105.0	-16.0
72.5483	-16.2172	5.03	+0.98		60	Eri	41.0	54.0
76.2417	-49.5778	5.03	+1.49	η²		Pic	71.0	-3.0
80.0037	33.9581	5.03	+0.27		19	Aur	1.0	2.0
89.7679	-9.5583	5.03	+0.19		2	Mon	9.0	-50.0
109.2062	-36.5928	5.03	-0.17				1.0	-2.0
110.8688	25.0506	5.03	+0.90		57	Gem	-69.0	-23.0
163.9350	33.5069	5.03	+1.10		46	UMa	-109.0	-27.0
175.8800	-62.4894	5.03	+0.80				-8.0	3.0
223.2129	-37.8033	5.03	-0.16				-18.0	-21.0
238.3338	-20.1672	5.03	-0.01	λ	45	Lib	-11.0	-23.0
255.4696	-32.1436	5.03	-0.10				-7.0	-51.0
259.6542	10.8644	5.03	+1.55				10.0	-95.0
273.4742	64.3972	5.03	+0.38		36	Dra	349.0	35.0
291.3188	-24.5086	5.03	+0.23	χ¹	47	Sgr	56.0	-54.0
292.6658	-2.7889	5.03	+1.75		36	Aql	23.0	-10.0
297.6571	52.9881	5.03	+1.28		20	Cyg	-8.0	-68.0
329.8125	73.1800	5.03	+0.44		16	Cep	-68.0	-161.0
339.4392	-4.2281	5.03	+1.14	κ	63	Aqr	-67.0	-120.0
26.5262	-53.5219	5.04	+0.04				127.0	56.0
30.5754	54.4875	5.04	-0.08		4	Per	35.0	-2.0
90.8146	-26.2844	5.04	+1.34				56.0	92.0
94.1108	12.2722	5.04	+0.42		74	Ori	82.0	186.0
116.4871	-14.5639	5.04	+0.33		4	Pup	-12.0	6.0
173.2254	-31.0872	5.04	+1.58				-30.0	6.0
181.1937	-76.5192	5.04	+1.49	κ		Cha	-82.0	48.0
198.0146	-16.1986	5.04	+0.46		53	Vir	98.0	-286.0
247.1604	41.8817	5.04	+1.52		30	Her	30.0	-9.0
252.9387	24.6564	5.04	+1.25		51	Her	11.0	6.0
267.3625	76.9628	5.04	+0.49		35	Dra	37.0	248.0
271.7563	30.5619	5.04	+0.52		99	Her	-94.0	71.0
280.6579	55.5394	5.04	-0.09		46	Dra	-2.0	24.0
309.6329	24.1161	5.04	-0.14		28	Vul	10.0	-2.0
312.5204	44.0594	5.04	+0.20		56	Cyg	126.0	133.0
327.4612	30.1742	5.04	-0.03		14	Peg	19.0	-27.0
332.8779	59.4144	5.04	+0.25	λ	22	Cep	3.0	-11.0
356.5979	3.4867	5.04	+2.60		19	Psc	-30.0	-25.0
356.9783	67.8069	5.04	-0.01				14.0	-1.0
69.9779	53.0797	5.05	+1.07		3	Cam	-2.0	-13.0
70.5146	-37.1444	5.05	+0.37	β		Cae	49.0	193.0
80.6396	79.2311	5.05	+0.47				-82.0	161.0
91.7642	-62.1547	5.05	+1.25				18.0	-72.0
92.9658	-6.5503	5.05	-0.20				-5.0	-5.0
109.6329	49.4650	5.05	+0.08				-4.0	14.0
112.3350	28.1181	5.05	+0.11		64	Gem	-41.0	-56.0
114.8692	17.6747	5.05	+1.56		74	Gem	5.0	4.0
121.6683	-45.2664	5.05	+1.50				0.0	0.0
129.7833	-22.6619	5.05	+0.73				-235.0	436.0
148.1267	-8.1050	5.05	+0.04	γ	8	Sex	-55.0	-40.0
164.8667	40.4303	5.05	+0.61		47	UMa	-317.0	57.0
201.2796	-74.8878	5.05	+1.11	ι¹		Mus	-115.0	-130.0
262.9912	68.1350	5.05	+1.08		27	Dra	-12.0	134.0
275.3863	49.1217	5.05	+1.66				-20.0	53.0
290.7129	-54.4236	5.05	+0.02	η		Tel	15.0	-72.0
300.3400	50.1047	5.05	+1.11		26	Cyg	19.0	4.0
309.7825	10.0861	5.05	+0.72	κ	7	Del	321.0	23.0
312.8754	-51.6083	5.05	+1.13	ι		Ind	7.0	-14.0
350.0858	5.3814	5.05	+1.20		7	Psc	82.0	-62.0
7.0121	17.8931	5.06	+1.65		47	Psc	117.0	21.0
48.1933	-1.1961	5.06	+0.57		94	Cet	196.0	-67.0
61.1133	59.1556	5.06	+0.50				-2.0	1.0
80.4425	-24.7731	5.06	+0.67				-24.0	-13.0
92.1842	-68.8433	5.06	-0.08	ν		Dor	-52.0	18.0
96.9900	-4.7622	5.06	-0.17		10	Mon	-5.0	-1.0
104.6046	-34.1117	5.06	-0.16				-6.0	5.0
115.7383	-45.1733	5.06	+0.78				-66.0	-558.0
145.0767	-14.3322	5.06	-0.15	κ	38	Hya	-27.0	-20.0
202.3550	-51.1653	5.06	+0.07				-2.0	-17.0
215.5946	-80.1089	5.06	-0.10	ε		Aps	-25.0	-9.0
229.8283	1.7653	5.06	+0.54		5	Ser	374.0	-514.0
271.5079	22.2189	5.06	+1.58		98	Her	-10.0	-8.0
281.0850	39.6700	5.06	+0.16	ε¹	4	Lyr	17.0	59.0
295.6296	-16.1239	5.06	+0.33		55	Sgr	68.0	-9.0
295.2092	45.5250	5.06	+0.40				86.0	127.0
349.2121	-7.7267	5.06	+1.60	χ	92	Aqr	-16.0	-15.0
355.8433	10.3314	5.06	+1.68		77	Peg	8.0	7.0
12.2446	16.9406	5.07	+0.51		64	Psc	-3.0	-204.0
12.1475	-74.9233	5.07	+1.37	λ		Hyi	130.0	-33.0
57.0679	11.1433	5.07	-0.13		30	Tau	28.0	-22.0
67.7088	-44.9539	5.07	-0.19	δ		Cae	7.0	-8.0
69.7883	15.7997	5.07	+0.15	σ¹	91	Tau	39.0	-72.0
75.0862	81.1939	5.07	+1.28				-1.0	24.0
78.8513	-26.9433	5.07	-0.10				10.0	-18.0
81.9121	34.4758	5.07	+1.40	φ	24	Aur	-3.0	-47.0
101.9046	-8.9983	5.07	+1.80				-16.0	5.0
115.1271	87.0200	5.07	+1.63				-45.0	-28.0
124.5788	-65.6133	5.07	+1.15				27.0	20.0
142.9900	9.7158	5.07	+1.37		6	Leo	-3.0	-13.0
213.7375	-57.0858	5.07	-0.08				-39.0	-9.0
234.8446	36.6358	5.07	-0.12	ζ²	7	CrB	-13.0	-6.0
241.0921	-11.3731	5.07		ξ		Sco	-60.0	-29.0
258.8367	-26.6014	5.07	+0.85		36	Oph	-491.0	-1133.0
278.0083	-45.7572	5.07	-0.14	δ²		Tel	4.0	-8.0
301.7225	23.6144	5.07	-0.18		17	Vul	15.0	3.0
9.0346	54.1686	5.08	-0.11				22.0	0.0
76.5354	58.9725	5.08	-0.08		11	Cam	-5.0	-8.0
81.1204	-0.8914	5.08	+0.96		27	Ori	-5.0	132.0
83.8454	-5.4161	5.08	-0.09	θ²	43	Ori	1.0	5.0
116.8542	-38.5111	5.08	-0.10				-6.0	0.0
123.4933	-36.3225	5.08	-0.19				10.0	-2.0
147.4879	-45.7328	5.08	-0.10				-26.0	4.0
151.5471	-47.3700	5.08	+0.88				11.0	-57.0
158.5037	-23.7453	5.08	+1.60		44	Hya	-8.0	21.0
158.7000	6.9536	5.08	+0.94		48	Leo	-102.0	56.0
159.0846	-59.5647	5.08	+1.18				-59.0	-53.0
160.8542	23.1883	5.08	+0.04		41	LMi	-116.0	9.0
165.2100	39.2122	5.08	+0.24		49	UMa	-72.0	-19.0
172.1463	-42.6742	5.08	-0.03				-40.0	8.0
213.1917	-27.2611	5.08	+1.16		50	Hya	-12.0	-34.0
249.0571	52.9244	5.08	-0.04		17	Dra	-9.0	27.0
257.6762	-44.5575	5.08	+0.86				-33.0	-56.0
257.3888	40.7772	5.08	+1.28				-42.0	12.0
284.3354	-20.6564	5.08	+0.13	ξ¹	36	Sgr	-1.0	-7.0
328.3242	-13.5517	5.08	+0.37	μ	51	Cap	313.0	13.0
328.2658	25.9250	5.08	-0.17		16	Peg	9.0	-2.0
338.9421	73.6431	5.08	+0.39		31	Cep	172.0	23.0
341.0229	41.8192	5.08	+0.96		13	Lac	-7.0	4.0
349.7779	-13.4589	5.08	+0.80		94	Aqr	298.0	-101.0
350.7692	12.3139	5.08	+1.31		66	Peg	27.0	-17.0
358.1221	19.1203	5.08	+1.60	φ	81	Peg	-5.0	-36.0
8.1825	-63.0311	5.09	+0.04	β³		Tuc	81.0	-38.0
50.6883	20.7419	5.09	+1.24	τ²	63	Ari	-44.0	-22.0
52.5008	55.4519	5.09	+0.05				-46.0	-9.0
57.2967	24.1367	5.09	-0.08		28	Tau	13.0	-50.0
92.5600	-74.7531	5.09	+0.72	α		Men	118.0	-213.0
119.3267	-44.1097	5.09	-0.17				-8.0	9.0
126.9021	-53.0886	5.09	+0.25				-68.0	13.0
147.1475	46.0211	5.09	+0.62				224.0	-92.0
157.5729	-0.6369	5.09	-0.14	β	30	Sex	-40.0	-23.0
170.8412	-18.7800	5.09	+0.42	λ	13	Crt	-312.0	-34.0
201.5325	-39.7553	5.09	+1.20				184.0	-52.0
229.2363	-60.9575	5.09	-0.06	δ		Cir	-19.0	-9.0
238.8733	-68.6031	5.09	+1.13	κ		TrA	-12.0	-3.0
286.7442	11.0714	5.09	-0.07		18	Aql	5.0	-26.0
326.2512	-9.0825	5.09	+1.11		46	Cap	21.0	-5.0
29.3379	17.8175	5.10	+0.92	ι	8	Ari	37.0	-18.0
55.5388	63.2167	5.10	+1.63				-20.0	17.0
62.5117	80.6986	5.10	+0.56				-17.0	-2.0
72.8437	18.8397	5.10	+0.21		97	Tau	80.0	-35.0
98.4079	-1.2203	5.10	-0.14				-3.0	-21.0
108.3850	-44.6397	5.10	+1.56				114.0	330.0
110.4867	20.4436	5.10	+1.52		56	Gem	-66.0	-27.0
111.5913	-51.0183	5.10	+1.06				1.0	8.0
132.6396	-46.5292	5.10	-0.21				-1.0	-2.0
163.3937	54.5850	5.10	+1.36		44	UMa	-64.0	-11.0
184.0008	14.8989	5.10	+0.06		6	Com	-80.0	-34.0
199.2212	-31.5061	5.10	+0.96				34.0	-48.0
216.0471	5.8200	5.10	+0.12				-77.0	5.0
272.2204	20.0453	5.10	+0.15		101	Her	8.0	-20.0
275.5775	-38.6569	5.10	+1.49				-33.0	-28.0
283.6796	-15.6031	5.10	+0.17				-8.0	-5.0
289.6354	1.0853	5.10	+1.15		23	Aql	10.0	19.0
301.2896	19.9911	5.10	+1.06	η	16	Sge	30.0	78.0
310.0125	-18.1386	5.10	+1.66	υ	15	Cap	-22.0	-21.0
324.8888	2.2436	5.10	+1.04		25	Aqr	-26.0	-82.0
335.0062	-80.4397	5.10	+1.47	ε		Oct	43.0	-45.0
334.1108	-41.6275	5.10	+0.92	μ²		Gru	-5.0	-13.0
345.6513	42.7578	5.10	+0.09		2	And	55.0	-4.0
0.4558	-3.0275	5.10	-0.12		29	Psc	16.0	-9.0
28.5917	-42.4969	5.11	-0.06	φ		Phe	-28.0	-32.0
44.3221	31.9342	5.11	-0.01		21	Per	3.0	-31.0
45.9033	-59.7378	5.11	+0.34	μ		Hor	-73.0	-67.0
57.3858	33.0914	5.11	+0.07		42	Per	-29.0	-1.0
58.4121	-34.7322	5.11	-0.13				31.0	-4.0
68.5483	-8.2314	5.11	+1.70		47	Eri	-18.0	-1.0
87.4733	-66.9011	5.11	-0.14	ε		Dor	-16.0	16.0
109.6592	-36.7428	5.11	-0.16				-2.0	3.0
119.7738	-23.3106	5.11	+1.12		12	Pup	-12.0	1.0
141.5754	-53.3792	5.11	-0.11				-8.0	0.0
143.4717	-80.9414	5.11	-0.14	ζ		Cha	-43.0	7.0
170.8408	-64.9550	5.11	-0.08				-1.0	-5.0
177.1879	-26.7497	5.11	+1.60				-32.0	-10.0
224.1833	-62.7808	5.11	0.00	θ		Cir	-11.0	0.0
233.8125	39.0100	5.11	+1.64	μ	6	CrB	29.0	6.0
237.8150	-3.0906	5.11	+0.12		36	Ser	-87.0	-27.0
258.8375	-26.6028	5.11	+0.86		36	Oph	-458.0	-1142.0
292.6887	27.9653	5.11	-0.10	β²	6	Cyg	-9.0	0.0
297.7567	10.4156	5.11	+0.55	ο	54	Aql	242.0	-139.0
308.4796	-44.5161	5.11	+1.01	ν		Mic	11.0	-43.0
312.1217	-43.9886	5.11	+0.35	ι		Mic	185.0	-106.0
325.0462	43.2739	5.11	+1.60		75	Cyg	63.0	16.0
331.2871	62.2800	5.11	+0.08		19	Cep	3.0	0.0
345.8742	-34.7494	5.11	+0.29	π		PsA	76.0	80.0
358.0267	-82.0189	5.11	+0.92	γ¹		Oct	-55.0	-19.0
3.6150	-7.7806	5.12	+1.62				59.0	4.0
5.4429	-20.0578	5.12	+1.82				71.0	-5.0
22.4004	-21.6294	5.12	+0.02		48	Cet	56.0	6.0
65.9663	9.4608	5.12	+0.07		66	Tau	-15.0	-8.0
76.6904	-4.6550	5.12	-0.06		66	Eri	16.0	8.0
77.1817	-4.4561	5.12	+0.44		68	Eri	44.0	17.0
103.4258	68.8883	5.12	-0.13		43	Cam	3.0	8.0
121.2688	13.1181	5.12	+0.01		8	Cnc	-36.0	-67.0
139.0962	-44.2658	5.12	+1.67				2.0	-1.0
143.4354	-49.0050	5.12	-0.12				-16.0	10.0
160.4858	65.7164	5.12	+1.20		38	UMa	-162.0	-69.0
191.6612	16.5775	5.12	+1.35		27	Com	9.0	7.0
215.8446	8.4467	5.12	-0.02				-75.0	-8.0
221.2467	27.0750	5.12		ε	36	Boo	-50.0	21.0
239.2229	-33.9664	5.12	+0.12	ξ¹		Lup	18.0	-42.0
240.3096	17.8183	5.12	+0.99		5	Her	-48.0	157.0
260.2258	24.4994	5.12	-0.03		70	Her	-22.0	2.0
261.0542	-44.1625	5.12	-0.06				-11.0	-28.0
267.2050	25.6228	5.12	+1.16		87	Her	-3.0	-39.0
275.2542	28.8700	5.12	+0.20		107	Her	5.0	50.0
276.0575	39.5072	5.12	+0.03	μ	2	Lyr	-23.0	-2.0
287.9187	56.8592	5.12	+1.01		53	Dra	39.0	48.0
293.7804	-10.5603	5.12	+1.13		37	Aql	9.0	3.0
297.6417	38.7225	5.12	+1.69		19	Cyg	11.0	107.0
310.0108	-60.5489	5.12	+0.53	φ²		Pav	307.0	-570.0
347.3812	8.6772	5.12	+1.47		57	Peg	4.0	2.0
9.1942	44.4886	5.13	+1.60				-23.0	33.0
18.6000	-7.9231	5.13	+0.46		37	Cet	127.0	273.0
83.8187	-5.3897	5.13	+0.02	θ¹	41	Ori	4.0	2.0
105.9083	10.9517	5.13	+1.39				-8.0	-19.0
110.5108	36.7606	5.13	+1.08		65	Aur	-98.0	-23.0
114.3196	-4.1111	5.13	+0.44		25	Mon	-68.0	17.0
123.4008	-46.9919	5.13	-0.14				3.0	-4.0
126.4783	7.5644	5.13	+0.94				-34.0	-12.0
138.5858	61.4233	5.13	+0.58		16	UMa	-6.0	-30.0
167.1417	-61.9472	5.13	+0.22				-6.0	2.0
172.9421	-59.4422	5.13	+1.08	ο¹		Cen	-5.0	-5.0
188.9396	-41.0219	5.13	+0.22				-107.0	-1.0
228.6596	67.3467	5.13	+0.53				221.0	-390.0
242.7583	-29.4164	5.13	+1.12				-93.0	-87.0
251.6667	-67.1097	5.13	-0.08				-14.0	-15.0
280.9454	-38.3236	5.13	+0.09	λ		CrA	3.0	-57.0
287.2908	76.5606	5.13	+0.31		59	Dra	47.0	-123.0
300.4362	-59.3761	5.13	+1.53				17.0	-33.0
335.3983	-21.5983	5.13	+1.07		47	Aqr	-8.0	-85.0
359.7325	-52.7458	5.13	+1.13	π		Phe	55.0	61.0
30.4267	-44.7136	5.14	+1.49	χ		Phe	-28.0	-53.0
37.0071	-33.8111	5.14	+0.10	φ		For	20.0	7.0
52.6021	11.3364	5.14	-0.03		4	Tau	-8.0	-18.0
81.5804	-58.9125	5.14	+1.00	λ		Dor	-8.0	28.0
90.8638	19.6906	5.14	-0.11		64	Ori	-1.0	-17.0
94.4237	-16.8158	5.14	+1.30				-11.0	8.0
102.7379	67.5719	5.14	-0.17		42	Cam	2.0	2.0
102.4775	-46.6147	5.14	+0.45				4.0	370.0
105.2146	-51.4025	5.14	+1.61				-15.0	16.0
107.6979	-48.9322	5.14	+1.24				-12.0	192.0
116.8762	33.4156	5.14	+1.60	π	80	Gem	-18.0	-29.0
117.9250	1.7669	5.14	-0.12	ζ	13	CMi	-16.0	-3.0
125.0163	27.2178	5.14	+0.47	χ	18	Cnc	-18.0	-378.0
137.0983	66.8733	5.14	+1.51	σ¹	11	UMa	-18.0	-38.0
137.3396	22.0456	5.14	+0.97	ξ	77	Cnc	1.0	5.0
149.4212	41.0556	5.14	+0.46		19	LMi	-117.0	-25.0
183.0496	77.6164	5.14	+0.33				10.0	22.0
185.2321	-13.5656	5.14	+1.05				-6.0	14.0
214.8854	-2.2656	5.14	+1.02	υ	102	Vir	-120.0	-74.0
243.8137	-47.3722	5.14	-0.13	θ		Nor	-32.0	-51.0
277.8596	-18.4028	5.14	0.00				-3.0	-25.0
278.7600	-10.9772	5.14	+0.92				51.0	-4.0
281.0954	39.6131	5.14	+0.19	ε²	5	Lyr	8.0	64.0
284.6517	-60.2006	5.14	+1.37	ω		Pav	-126.0	31.0
298.3225	57.5236	5.14	-0.13		23	Cyg	9.0	13.0
311.6612	16.1244	5.14	+0.49	γ¹	12	Del	-30.0	-191.0
331.5083	45.0144	5.14	+1.57				-7.0	-16.0
38.0258	36.1472	5.15	+1.47		14	Tri	46.0	12.0
49.6575	50.2222	5.15	-0.06		29	Per	29.0	-26.0
97.8458	-12.3917	5.15	+1.27				40.0	-16.0
132.9867	43.7267	5.15	+0.98		35	Lyn	-15.0	48.0
166.8192	-42.6386	5.15	+0.03				-96.0	43.0
172.9533	-59.5158	5.15	+0.49	ο²		Cen	-8.0	1.0
174.2525	-61.2833	5.15	+1.12				-224.0	6.0
174.5304	-61.8264	5.15	-0.02				-71.0	17.0
180.9150	-42.4342	5.15	+0.41				331.0	-114.0
185.5304	-67.5219	5.15	+0.19	ζ²		Mus	-31.0	-3.0
199.5604	49.6819	5.15	-0.07		21	CVn	-33.0	15.0
206.7350	-36.2519	5.15	-0.02				-11.0	-9.0
208.6754	-1.5031	5.15	+1.08		90	Vir	-88.0	-18.0
209.6296	-24.9722	5.15	-0.10		47	Hya	-49.0	-29.0
222.6717	-15.9972	5.15	+0.41	α¹	8	Lib	-98.0	-66.0
226.3296	-41.0672	5.15	+1.01				20.0	-3.0
233.6554	-28.0469	5.15	+1.30		36	Lib	14.0	-33.0
251.4579	8.5825	5.15	+1.53		43	Her	0.0	15.0
266.0362	-51.8342	5.15	+0.70	μ		Ara	-14.0	-194.0
288.4279	2.2936	5.15	-0.07		21	Aql	9.0	-3.0
291.5379	36.3178	5.15	-0.12		4	Cyg	5.0	14.0
303.8758	23.5086	5.15	+1.04		22	Vul	0.0	-15.0
310.4879	-66.7608	5.15	-0.06	υ		Pav	9.0	-25.0
316.1792	-77.0239	5.15	+0.49	α		Oct	6.0	-369.0
17.7783	31.4247	5.16	+0.23		82	Psc	-11.0	-14.0
19.4500	3.6144	5.16	+0.07		89	Psc	-46.0	-25.0
39.5083	72.8183	5.16	+0.88				-30.0	16.0
123.8162	-62.9158	5.16	+0.09				-23.0	-22.0
130.9179	-49.8228	5.16	-0.20				2.0	4.0
134.8504	-59.0836	5.16	+0.42				-174.0	280.0
153.3775	-66.3731	5.16	+0.21				-39.0	4.0
158.7904	57.0828	5.16	+0.34		37	UMa	67.0	39.0
194.2683	-51.1986	5.16	-0.06				-26.0	-15.0
229.0167	-41.4911	5.16	+0.58				-5.0	-6.0
268.3254	40.0081	5.16	+1.18		90	Her	11.0	53.0
269.7717	-30.2531	5.16	+1.77				2.0	-10.0
278.0892	-39.7039	5.16	+0.08				36.0	-40.0
286.5829	-52.3408	5.16	+0.53	ρ		Tel	30.0	-118.0
291.2425	11.9444	5.16	+0.77		31	Aql	722.0	643.0
291.3692	19.7986	5.16	+0.98		4	Vul	95.0	-63.0
309.8537	0.4864	5.16	+1.06		1	Aqr	101.0	-15.0
316.3092	-54.7272	5.16	+1.21	μ		Ind	10.0	-46.0
320.7233	6.8111	5.16	+0.05	β	10	Equ	56.0	10.0
343.1004	9.8356	5.16	+0.48	σ	49	Peg	522.0	44.0
347.9342	8.7200	5.16	+0.13		59	Peg	-6.0	-6.0
7.0571	44.3944	5.17	+0.03				89.0	-16.0
17.0683	54.9203	5.17	+0.69	μ	30	Cas	3424.0	-1596.0
35.5892	55.8456	5.17	+0.37		9	Per	-2.0	-2.0
44.1558	-3.7122	5.17	+0.08				-35.0	-44.0
65.9200	-3.7456	5.17	+0.08	ξ	42	Eri	-50.0	-57.0
86.4996	-32.3064	5.17	-0.28	μ		Col	9.0	-25.0
87.7217	-52.1089	5.17	+0.99				6.0	-78.0
104.9604	-67.9161	5.17	+1.40				-33.0	241.0
106.0763	-56.7497	5.17	-0.04				5.0	-1.0
115.9246	-40.9339	5.17	+1.10				133.0	-175.0
117.9429	-13.8981	5.17	+0.60		9	Pup	-62.0	-340.0
119.4658	-45.5778	5.17	+1.27				-6.0	20.0
