# ra	dec	mag	bv	bayer	flamsteed	constellation	pmra_mas	pmdec_mas
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
# pmra_mas is the PROJECTED motion cos(dec).d(ra)/dt, as the catalogue states it.
345.9438	28.0828	2.42	+1.67	β	53	Peg	189.0	137.0
257.5946	-15.7247	2.43	+0.06	η	35	Oph	39.0	98.0
178.4575	53.6947	2.44	0.00	γ	64	UMa	95.0	12.0
319.6450	62.5856	2.44	+0.22	α	5	Cep	151.0	49.0
111.0238	-29.3031	2.45	-0.08	η	31	CMa	-4.0	5.0
311.5529	33.9703	2.46	+1.03	ε	53	Cyg	356.0	328.0
14.1771	60.7167	2.47	-0.15	γ	27	Cas	26.0	-5.0
346.1904	15.2053	2.49	-0.04	α	54	Peg	63.0	-42.0
140.5283	-55.0108	2.50	-0.18	κ		Vel	-8.0	9.0
45.5700	4.0897	2.53	+1.64	α	92	Cet	-9.0	-78.0
208.8850	-47.2883	2.55	-0.22	ζ		Cen	-57.0	-42.0
168.5271	20.5236	2.56	+0.12	δ	68	Leo	142.0	-130.0
249.2896	-10.5672	2.56	+0.02	ζ	13	Oph	14.0	26.0
83.1825	-17.8222	2.58	+0.21	α	11	Lep	1.0	2.0
183.9517	-17.5419	2.59	-0.11	γ	4	Crv	-161.0	23.0
182.0896	-50.7225	2.60	-0.12	δ		Cen	-34.0	-8.0
285.6529	-29.8803	2.60	+0.08	ζ	38	Sgr	-15.0	-2.0
154.9929	19.8417	2.61	+1.15	γ¹	41	Leo	306.0	-147.0
229.2517	-9.3831	2.61	-0.11	β	27	Lib	-96.0	-19.0
89.9304	37.2125	2.62	-0.08	θ	37	Aur	48.0	-81.0
241.3592	-19.8056	2.62	-0.07	β¹	8	Sco	-6.0	-19.0
28.6600	20.8081	2.64	+0.13	β	6	Ari	96.0	-111.0
84.9121	-34.0742	2.64	-0.12	α		Col	7.0	-26.0
188.5967	-23.3967	2.65	+0.89	β	9	Crv	2.0	-54.0
236.0671	6.4256	2.65	+1.17	α	24	Ser	137.0	47.0
21.4542	60.2353	2.68	+0.13	δ	37	Cas	297.0	-51.0
208.6713	18.3978	2.68	+0.58	η	8	Boo	-63.0	-358.0
224.6329	-43.1339	2.68	-0.22	β		Lup	-35.0	-39.0
74.2483	33.1661	2.69	+1.53	ι	3	Aur	3.0	-18.0
161.6925	-49.4200	2.69	+0.90	μ		Vel	74.0	-48.0
189.2958	-69.1356	2.69	-0.20	α		Mus	-48.0	-13.0
262.6908	-37.2958	2.69	-0.22	υ	34	Sco	-1.0	-31.0
109.2858	-37.0975	2.70	+1.62	π		Pup	-9.0	4.0
221.2467	27.0742	2.70	+0.97	ε	36	Boo	-49.0	21.0
275.2487	-29.8281	2.70	+1.38	δ	19	Sgr	35.0	-28.0
296.5650	10.6133	2.72	+1.52	γ	50	Aql	18.0	-2.0
243.5863	-3.6944	2.74	+1.58	δ	1	Oph	-44.0	-143.0
245.9979	61.5142	2.74	+0.91	η	14	Dra	-17.0	61.0
200.1492	-36.7122	2.75	+0.04	ι		Cen	-341.0	-85.0
222.7196	-16.0417	2.75	+0.15	α²	9	Lib	-106.0	-67.0
160.7392	-64.3944	2.76	-0.22	θ		Car	-23.0	10.0
83.8583	-5.9100	2.77	-0.24	ι	44	Ori	0.0	1.0
247.5550	21.4897	2.77	+0.94	β	27	Her	-98.0	-15.0
265.8683	4.5672	2.77	+1.16	β	60	Oph	-40.0	159.0
233.7854	-41.1669	2.78	-0.20	γ		Lup	-15.0	-28.0
76.9625	-5.0864	2.79	+0.13	β	67	Eri	-95.0	-81.0
262.6083	52.3014	2.79	+0.98	β	23	Dra	-16.0	15.0
6.4379	-77.2542	2.80	+0.62	β		Hyi	2215.0	324.0
183.7862	-58.7489	2.80	-0.23	δ		Cru	-41.0	-9.0
121.8858	-24.3042	2.81	+0.43	ρ	15	Pup	-83.0	49.0
250.3217	31.6031	2.81	+0.65	ζ	40	Her	-470.0	394.0
276.9925	-25.4217	2.81	+1.04	λ	22	Sgr	-44.0	-185.0
248.9708	-28.2161	2.82	-0.25	τ	23	Sco	-8.0	-22.0
3.3092	15.1836	2.83	-0.23	γ	88	Peg	3.0	-12.0
195.5442	10.9592	2.83	+0.94	ε	47	Vir	-273.0	20.0
82.0613	-20.7594	2.84	+0.82	β	9	Lep	-4.0	-89.0
58.5329	31.8836	2.85	+0.12	ζ	44	Per	6.0	-10.0
238.7854	-63.4306	2.85	+0.29	β		TrA	-191.0	-398.0
261.3250	-55.5300	2.85	+1.46	β		Ara	-8.0	-25.0
29.6925	-61.5697	2.86	+0.28	α		Hyi	264.0	27.0
334.6254	-60.2597	2.86	+1.39	α		Tuc	-72.0	-43.0
56.8713	24.1050	2.87	-0.09	η	25	Tau	19.0	-46.0
296.2437	45.1308	2.87	-0.03	δ	18	Cyg	53.0	47.0
326.7600	-16.1272	2.87	+0.29	δ	49	Cap	263.0	-297.0
95.7400	22.5136	2.88	+1.64	μ	13	Gem	54.0	-111.0
113.6500	31.8886	2.88	+0.04	α	66	Gem	-172.0	-99.0
59.4633	40.0103	2.89	-0.18	ε	45	Per	18.0	-26.0
229.7275	-68.6794	2.89	0.00	γ		TrA	-72.0	-31.0
239.7129	-26.1142	2.89	-0.19	π	6	Sco	-11.0	-26.0
245.2971	-25.5928	2.89	+0.13	σ	20	Sco	-10.0	-21.0
287.4408	-21.0236	2.89	+0.35	π	41	Sgr	0.0	-35.0
111.7875	8.2894	2.90	-0.09	β	3	CMi	-52.0	-38.0
