# id	type	ra	dec	mag	band	majax	minax	pa	name
# OpenNGC (Mattia Verga), CC-BY-SA-4.0. J2000. Axes in arcminutes, angles in degrees.
# mag is V where measured and B otherwise; `band` says which. See NOTICE.txt.
IC1987 NED02	G	55.04808	-55.05908	15.95	B	0.78	0.28	11	
IC1987 NED03	G	55.05017	-55.05344	16.39	B	0.79	0.79	0	
IC1987 NED04	G	55.05087	-55.05628			0.20	0.19	28	
IC1988	Other	55.69004	-39.88711						
IC1989	G	55.47779	-50.95781	14.61	B	1.37	0.76	132	
IC1990	Neb	56.80763	24.33389						
IC1991	G	56.19496	-51.52342	16.18	B	0.84	0.28	40	
IC1992	Other	56.28350	-51.00469						
IC1993	G	56.77004	-33.70986	11.90	V	2.81	2.48	57	
IC1994	G	56.47937	-51.64333	16.02	B	0.73	0.22	4	
IC1995	Neb	57.57725	25.58078			2.00	2.00	90	
IC1996	G	56.28204	-57.32481	16.32	B	0.92	0.21	102	
IC1997	G	56.21625	-59.13767	13.47	V	1.01	0.70	76	
IC1998	G	57.88050	1.18981	15.69	B	0.77	0.61	12	
IC1999	G	56.92850	-56.95208	15.08	V	0.79	0.68	148	
IC2000	G	57.28225	-48.85819	12.38	V	4.88	0.85	82	
IC2003	PN	59.09179	33.87486	11.40	V	0.14			
IC2004	G	57.94054	-49.41961	14.99	B	0.91	0.68	46	
IC2005	G	59.41475	36.78747	15.76	B	0.34	0.23	47	
IC2006	G	58.61854	-35.96714	11.34	V	2.36	1.98	35	
IC2007	G	58.84483	-28.15833	13.73	B	1.29	0.60	48	
IC2009	G	58.39521	-48.98947	14.90	B	1.50	0.99	66	
IC2010	G	57.99179	-59.92936	13.71	V	1.19	0.48	71	
IC2012	GPair	58.23050	-58.65100			0.70			
IC2012 NED01	G	58.23025	-58.64956	16.28	B	0.51	0.42	18	
IC2013	Other	59.18358	-17.10950						
IC2014	G	58.84033	-56.74631	15.67	B	0.63	0.47	18	
IC2015	G	59.54758	-40.38914	15.66	B	0.59	0.44	102	
IC2016	G	60.49946	20.24044	15.70	B	0.51	0.25	2	
IC2017	G	59.16404	-59.39475	15.00	B	1.11	0.74	21	
IC2018	G	59.47721	-52.78111	14.78	V	0.79	0.55	137	
IC2019	G	60.47354	5.63944	15.24	B	0.84	0.47	64	
IC2020	G	59.72142	-54.05761	15.62	B	0.67	0.53	58	
IC2021	G	59.84971	-52.65672	15.76	B	0.65	0.49	123	
IC2022	G	59.66671	-59.04367	16.14	B	1.10	0.24	1	
IC2023	G	59.91929	-52.68114	15.86	B	0.59	0.44	43	
IC2024	G	60.01725	-53.37100	15.55	B	1.10	0.26	30	
IC2025	G	60.09658	-53.06561	15.30	V	1.16	0.25	124	
IC2027	G	61.66496	37.11575	16.00	B	0.94	0.78	100	
IC2028	G	60.32596	-52.70744	14.22	V	0.86	0.52	54	
IC2029	G	60.32479	-52.80078	15.74	B	1.03	0.40	180	
IC2030	Other	61.23454	-19.23147						
IC2031	G	61.56133	-5.65189	15.80	B	0.56	0.48	103	
IC2032	G	61.76267	-55.32383	14.73	V	1.12	0.41	75	
IC2033	G	61.81008	-53.68092	14.99	B	1.19	0.47	127	
IC2034	G	61.65346	-57.96139	15.90	B	1.35	0.20	119	
IC2035	G	62.25779	-45.51753	11.75	V	1.41	1.17	84	
IC2036	G	62.47958	-39.68869	14.45	B	1.12	0.73	84	
IC2037	G	62.07917	-58.75117	14.78	B	1.74	0.30	90	
IC2038	G	62.22396	-55.98956	14.68	V	1.85	0.49	155	
IC2039	G	62.25988	-56.01169	14.26	V	1.09	0.93	124	
IC2040	G	63.24904	-32.55328	13.68	B	1.35	0.66	68	
IC2041	G	63.14542	-32.81736	14.68	B	1.07	0.74	136	
IC2043	G	62.78938	-53.68664	14.51	V	1.43	0.27	12	
IC2044	G	62.80821	-54.53256	16.51	B	0.62	0.38	54	
IC2045	G	63.65004	-13.17492	15.49	B	0.91	0.68	126	
IC2046	G	62.85225	-54.67319	15.15	B	0.82	0.56	104	
IC2049	G	63.01783	-58.55700	14.74	V	1.06	0.80	10	
IC2050	G	63.48387	-53.47536	13.80	V	1.17	0.82	36	
IC2051	G	58.00346	-83.83069	11.23	V	2.86	1.72	68	
IC2052	G	63.74383	-54.33619	15.37	B	1.06	0.39	165	
IC2053	G	63.98175	-49.35833	15.27	B	0.53	0.48	73	
IC2054	G	61.85975	-78.25331	16.38	B	0.46	0.42	115	
IC2055	Other	64.45217	-48.92411						
IC2056	G	64.10225	-60.20681	11.87	V	1.85	1.61	14	
IC2057	G	65.48371	4.04864	15.18	B	0.63	0.52	65	
IC2058	G	64.47646	-55.93289	13.76	B	3.40	0.48	18	
IC2059	G	65.10958	-31.72458	13.98	B	1.34	0.55	170	
IC2060	G	64.47233	-56.61625	13.91	V	1.25	0.82	158	
IC2061	Other	66.00054	21.08319						
IC2063	G	65.66800	-15.66050	14.83	B	0.87	0.48	174	
IC2064	G	65.86142	-15.68517	15.75	B	0.53	0.47	47	
IC2065	G	65.36658	-55.93331	14.61	B	1.19	0.39	36	
IC2066	G	65.88471	-54.73339	15.27	B	0.86	0.64	133	
IC2067	Neb	67.71263	35.44617	11.49	V				
IC2068	G	66.65367	-42.09372	14.27	B	1.29	0.91	171	
IC2069	Other	66.48392	-48.20806						
IC2070	G	66.14871	-57.98089	14.50	B	1.44	0.67	88	
IC2071	GGroup	66.55496	-53.15211			1.20			
IC2072	Other	66.72750	-48.37750						
IC2073	G	66.64100	-53.18733	13.72	V	1.43	0.58	50	
IC2074	Other	67.84596	7.70261						
IC2076	Other	67.03254	-48.22886						
IC2079	G	67.12842	-53.73792	14.00	V	1.40	0.39	125	
IC2080	G	67.96729	-5.75683	15.84	B	0.78	0.47	15	
IC2081	G	67.25375	-53.61369	13.27	V	1.00	0.77	75	
IC2082	GPair	67.28167	-53.82722			1.40			
IC2082 NED01	G	67.28421	-53.82794	12.79	V	1.23	0.58	125	
IC2082 NED02	G	67.27925	-53.82669	13.77	V	1.02	0.55	123	
IC2083	G	67.68446	-53.98083	14.93	B	0.95	0.51	102	
IC2084	Other	68.02571	-48.28831						
IC2085	G	67.85100	-54.41683	13.18	V	2.45	0.54	112	
IC2086	G	67.88404	-53.64764	15.71	B	0.64	0.57	141	
IC2087	Neb	69.99988	25.74222			4.00	4.00		
IC2088	Neb	67.76900	26.60703						
IC2089	G	68.21017	-75.53944	15.13	B	0.99	0.88	36	
IC2090	Other	71.18362	-33.99408						
IC2091	Other	71.66342	-4.67181						
IC2092	Other	71.69842	-4.94336						
IC2094	G	72.10346	-5.35264	15.82	B	1.04	0.27	71	
IC2095	G	72.19012	-5.12481	16.13	B	1.46	0.20	55	
IC2096	Other	72.42025	-4.97864						
IC2097	G	72.60092	-5.08122	15.33	B	1.16	0.29	116	
IC2098	G	72.68462	-5.41867	14.66	B	2.45	0.33	96	
IC2101	G	72.92600	-6.23144	14.42	B	1.76	0.38	152	
IC2102	G	72.98050	-4.95161	14.52	B	1.28	1.14	65	
IC2103	G	69.95021	-76.83681	14.67	B	2.02	0.34	88	
IC2104	G	74.07900	-15.79789	13.79	B	2.11	1.14	100	
IC2105	Cl+N	72.36108	-69.20092	11.30	V	0.65	0.60	170	
IC2106	G	74.14121	-28.50392	13.79	B	1.79	1.04	156	
IC2111	Cl+N	72.96717	-69.39217			0.65	0.55	130	
IC2112	G	75.12562	4.38653	15.36	B	0.32	0.21	26	
IC2116	HII	74.31775	-66.38903	14.21	V	0.60	0.60		
IC2117	Cl+N	74.31338	-68.44147			1.00	0.90	110	
IC2119	G	76.71229	-20.34519	14.69	B	1.20	0.63	54	
IC2120	Other	79.79292	38.18500						
IC2122	G	79.75583	-37.08939	13.93	B	1.75	1.51	66	
IC2125	G	81.11717	-27.01606	14.50	B	1.02	0.75	126	
IC2128	Cl+N	80.68404	-68.06108	11.10	V	4.80	3.60	40	
IC2129	G	82.96029	-23.14506	13.85	B	1.82	0.88	103	
IC2132	G	83.11946	-13.92711	14.15	B	1.88	0.62	175	
IC2134	GCl	80.77433	-75.44683	13.94	V	1.40	1.40		
IC2135	G	83.30375	-36.39883	13.28	B	3.24	0.66	110	
IC2137	G	83.59033	-23.53333	13.94	B	1.29	0.81	83	
IC2139	*Ass	83.81762	-17.93367						
IC2140	GCl	83.34129	-75.37536	13.48	V	2.30	2.30		
IC2141	*Ass	85.59308	-51.03286						
IC2142	G	83.28817	-78.01942	15.53	B	0.86	0.48	27	
IC2143	G	86.71921	-18.72639	13.42	B	1.90	0.92	99	
IC2144	HII	87.55787	23.87242			1.00	1.00	0	
IC2145	Neb	85.10313	-69.67031	12.00	V	0.19			
IC2146	GCl	84.44554	-74.78319	12.41	V	3.30	3.30		
IC2147	G	85.86692	-30.49503	13.62	B	1.56	1.29	86	
IC2148	GCl	84.79942	-75.56244	14.23	V	1.30	1.30		
IC2149	PN	89.09954	46.10478	10.78	V	0.14			
IC2150	G	87.82733	-38.32047	12.94	V	2.90	0.80	83	
IC2151	G	88.15179	-17.78728	14.17	B	1.24	0.64	93	
IC2152	G	89.47254	-23.18078	13.49	B	1.65	1.15	50	
IC2153	GPair	90.02158	-33.91975			1.00			
IC2153 NED01	G	90.01762	-33.92008	14.26	B	1.15	0.89	68	
IC2153 NED02	G	90.02267	-33.91819	14.33	B	1.08	0.84	69	
IC2155	G	90.16012	-33.99733	16.54	B	0.37	0.23	3	
IC2156	OCl	91.21837	24.15844						
IC2157	OCl	91.19825	24.07103	8.40	V	2.70			
IC2158	G	91.32483	-27.85697	12.91	B	1.36	1.08	115	
IC2159	Neb	92.49008	20.43139						
IC2160	G	88.86900	-76.92025	13.11	V	1.80	0.89	108	
IC2161	GCl	89.35358	-75.13947	14.24	V	1.60	1.60		
IC2162	HII	93.26958	17.98008			4.00	4.00		
IC2163	G	94.11658	-21.37586	11.11	V	3.37	0.95	103	
IC2164	G	91.71775	-75.36469	14.57	B	1.15	0.97	122	
IC2165	PN	95.42792	-12.98722	10.50	V	0.15			
IC2166	G	96.73183	59.08008	12.45	V	2.20	1.08	116	
IC2170	Other	98.52046	44.68844						
IC2171	G	101.11538	-17.93247	15.19	B	1.63	0.34	91	
IC2174	G	107.27338	75.35303	13.55	V	0.78	0.78	125	
IC2176	G	106.88263	32.46975	15.12	B	0.93	0.76	180	
IC2177	RfN	106.15379	-10.47106			20.00	20.00		
IC2178	G	106.90692	32.51239	16.01	B	0.59	0.35	140	
IC2179	G	108.88462	64.92619	12.51	V	0.85	0.79	95	
IC2180	G	107.83158	26.37153	14.96	B	0.90	0.79	10	
IC2181	G	108.29313	18.99583	14.78	B	1.02	0.56	140	
IC2182	G	108.54596	18.94503	14.89	B	1.51	0.78	103	
IC2183	Other	109.23450	-20.41047						
IC2184	GGroup	112.35583	72.12889			1.10			
IC2184 NED01	G	112.35067	72.12789	14.29	B	0.86	0.40	145	
IC2184 NED02	G	112.36258	72.13097	14.00	B	0.73	0.30	15	
IC2185	G	110.81683	32.49533	14.88	B	0.60	0.36	125	
IC2186	G	110.69908	21.52925	16.09	B	0.33	0.22	30	
IC2187	G	110.68046	21.48336	15.10	B	0.20	0.20	175	
IC2188	G	110.67992	21.51303	15.05	B	1.10	0.72	112	
IC2189	Other	111.23996	8.92069						
IC2190	G	112.47625	37.45175	14.68	B	0.93	0.61	19	
IC2191	G	112.57275	24.32772	15.18	B	0.81	0.53	20	
IC2192	G	113.33462	31.36139	15.56	B	0.52	0.41	134	
IC2193	G	113.34879	31.48356	14.62	B	1.47	0.96	87	
IC2194	G	113.41746	31.33442	14.96	B	1.51	0.38	50	
IC2195	Other	112.11513	-51.25742						
IC2196	G	113.54058	31.40567	13.92	B	1.67	0.86	153	
IC2197	G	113.60546	31.42200	17.07	B	0.50	0.33	138	
IC2198	G	113.54637	23.96633	15.27	B	0.65	0.62	60	
IC2199	G	113.73225	31.27625	13.55	B	1.03	0.58	26	
IC2200	G	112.07296	-62.35292	13.16	V	1.33	0.78	59	
IC2201	G	114.07004	33.12272	14.91	B	1.16	0.29	66	
IC2202	G	111.97808	-67.57422	13.60	V	2.16	0.67	164	
IC2203	G	115.14004	34.23006	14.58	B	0.90	0.70	154	
IC2204	G	115.32542	34.23217	16.26	V	0.89	0.82	138	
IC2205	G	116.72737	26.87233	14.98	B	0.71	0.35	52	
IC2207	G	117.46204	33.96228	15.15	B	1.71	0.28	124	
IC2208	G	118.03267	27.48392	15.18	B	0.43	0.33	12	
IC2209	G	119.05921	60.30408	13.80	V	0.84	0.75	145	
IC2211	G	119.44025	32.55811	14.56	B	0.82	0.45	139	
IC2212	G	119.73833	32.61225	15.70	B	0.73	0.64	103	
IC2213	G	119.77729	27.46400	15.44	B	0.73	0.61	71	
IC2214	G	119.97421	33.29053	14.45	B	0.92	0.81	40	
IC2215	Other	119.88813	24.92897						
IC2217	G	120.20721	27.50031	14.30	B	0.59	0.42	87	
IC2218	G	120.41038	24.43244	15.57	B	0.85	0.30	19	
IC2219	G	120.65221	27.43750	14.41	B	1.16	0.55	176	
IC2220	RfN	119.21229	-59.12578			5.00			Toby Jug Nebula
IC2221	G	121.28313	37.45064	16.22	B	0.64	0.45	23	
IC2222	G	121.31154	37.47258	15.43	B	0.79	0.41	121	
IC2223	G	121.45963	37.46006	16.31	B	0.46	0.30	71	
IC2225	G	121.36717	35.94669	14.76	B	1.07	0.75	87	
IC2226	G	121.54675	12.54350	13.43	V	1.05	0.78	142	
IC2227	G	121.77992	36.23347	14.19	V	1.11	0.58	30	
IC2230	G	122.73562	25.68469	15.67	B	0.57	0.46	159	
IC2231	G	122.75667	5.08733	14.91	B	1.67	1.67	120	
IC2233	G	123.49546	45.74214	12.61	V	2.88	0.40	172	
IC2234	G	123.46508	35.49292	15.98	B	0.54	0.51	124	
IC2239	G	123.52829	23.86636	15.24	B	0.84	0.71	140	
IC2247	G	123.99625	23.19961	14.04	B	1.82	0.27	149	
IC2248	G	124.02004	23.13403	15.03	B	0.79	0.46	52	
IC2249	G	124.14346	24.49372	16.54	B	0.31	0.25	122	
IC2250	G	124.13400	23.63297	16.58	B	0.41	0.31	122	
IC2253	G	124.14117	21.40989	14.70	B	0.95	0.58	168	
IC2254	G	124.18963	24.78022	15.28	B	0.70	0.43	119	
IC2256	G	124.22679	24.17683	15.13	B	0.79	0.40	8	
IC2267	G	124.50671	24.73533	15.20	B	1.85	0.24	152	
IC2268	G	124.52733	24.79644	15.47	B	0.38	0.37	90	
IC2269	G	124.53650	23.04758	15.60	B	0.98	0.21	30	
IC2271	G	124.58208	24.52692	15.42	B	0.40	0.31	150	
IC2274	Other	124.55837	18.66583						
IC2276	Other	124.62238	18.47772						
IC2278	Other	124.64354	18.46153						
IC2282	G	124.81471	24.79264	13.93	V	0.88	0.77	45	
IC2288	G	124.84325	23.74731	15.62	B	0.53	0.31	68	
IC2290	G	124.81608	19.31325	15.34	B	0.58	0.42	149	
IC2293	G	124.88379	21.39431	14.37	V	0.89	0.67	125	
IC2307	G	125.17842	19.44067	15.40	B	0.85	0.36	162	
IC2308	GTrpl	125.18854	19.36228			0.63	0.32	93	
IC2308 NED01	G	125.18688	19.36222	17.10	B	0.28	0.11	87	
IC2309	G	125.18171	18.39783	15.97	B	0.76	0.25	6	
IC2311	G	124.69158	-25.36975	11.52	V	2.14	1.99	47	
IC2312	GPair	125.22242	18.51089			0.70			
IC2312 NED01	G	125.22192	18.50853	16.68	B	0.44	0.27	175	
IC2312 NED02	G	125.22313	18.51239	18.21	B	0.25	0.17	55	
IC2325	Other	125.53638	18.91214						
IC2326	Other	125.55058	19.01208						
IC2327	G	125.36654	3.16928	13.95	B	1.21	0.39	169	
IC2328	Other	125.57242	19.61644						
IC2329	G	125.58117	19.41597	14.89	B	2.00	0.36	116	
IC2335	G	125.77933	19.40803	16.77	B	0.45	0.29	164	
IC2337	G	125.83454	18.53522	16.06	B	0.48	0.26	46	
IC2338	G	125.88612	21.33808	14.75	V	0.55	0.40	32	
IC2339	G	125.89254	21.34764	14.01	V	0.89	0.45	61	
IC2340	G	125.87521	18.74944	14.44	B	1.07	0.73	160	
IC2341	G	125.92267	21.43489	14.64	B	1.18	0.57	3	
IC2348	G	126.08438	20.53325	14.98	V	0.66	0.32	91	
IC2350	Other	126.11825	19.55206						
IC2361	G	126.43542	27.87458	14.76	B	1.56	0.50	78	
IC2363	G	126.43925	19.44928	14.87	B	0.83	0.70	5	
IC2365	G	126.57525	27.84014	14.53	B	1.21	0.85	44	
IC2367	G	126.04200	-18.77556	12.05	V	2.45	1.30	60	
IC2373	G	126.70408	20.36483	14.88	V	0.59	0.48	160	
IC2374	G	127.09225	30.44319	15.26	V	0.53	0.48	161	
IC2375	G	126.58196	-13.30314			2.18	0.35	84	
IC2376	G	127.10887	30.40769	14.58	V	0.89	0.60	64	
IC2377	G	126.60867	-13.30617	14.76	B	1.05	0.62	21	
IC2378	G	127.13188	30.43133	13.23	V	1.31	0.92	23	
IC2379	G	126.61583	-13.29286			0.96	0.49	35	
IC2380	G	127.18287	30.40453	14.15	V	0.80	0.72	162	
IC2382	G	127.19217	22.05347	14.59	B	0.89	0.58	165	
IC2383	G	127.42229	30.68797	14.45	V	0.61	0.45	93	
IC2384	G	128.59783	32.43478	15.38	B	0.88	0.65	73	
IC2385	G	128.79317	37.26597	15.07	B	0.79	0.52	27	
IC2387	G	129.64167	30.79869	14.73	B	1.16	0.53	18	
IC2388	G	129.98550	19.64531	15.81	B	0.57	0.33	150	
IC2389	G	131.99071	73.53919	13.32	V	1.30	0.30	125	
IC2391	OCl	130.13283	-53.03547	2.50	V	29.10			omi Vel Cluster
IC2392	G	131.12833	18.28614	14.58	B	0.61	0.46	5	
IC2393	G	131.70496	28.17131	14.33	B	1.18	0.80	27	
IC2394	G	131.77879	28.23656	15.07	B	0.68	0.59	98	
IC2395	OCl	130.62546	-48.15056	4.60	V	6.00			
IC2398	G	131.68571	17.75492	15.30	B	0.64	0.33	6	
IC2399	G	131.95721	18.91189	15.73	B	0.53	0.50	3	
IC2400	G	131.99646	38.06981	15.09	B	0.90	0.38	112	
IC2401	G	132.04292	37.75536	14.90	B	1.12	0.74	101	
IC2402	G	131.99600	31.78564	15.40	B	0.82	0.75	120	
IC2403	G	131.53888	-15.35700	15.42	B	0.70	0.38	120	
IC2404	G	132.04354	29.49136	14.75	V	0.76	0.55	109	
IC2405	G	132.17817	37.21864	14.86	B	0.76	0.57	7	
IC2406	G	132.01921	17.70239	14.21	B	1.64	0.77	173	
IC2407	G	132.03813	17.61147	15.12	B	1.25	0.23	86	
IC2409	G	132.10275	18.33114	14.30	B	0.92	0.73	148	
IC2414	G	132.45883	18.79242	15.67	B	0.58	0.39	46	
IC2418	G	132.85450	17.94525	16.42	B	0.39	0.33	111	
IC2420	G	132.89067	3.10069	14.85	B	0.84	0.72	141	
IC2421	G	133.59000	32.68086	13.31	V	1.41	0.95	53	
IC2422	G	133.60129	20.22481	15.66	B	0.66	0.62	130	
IC2423	G	133.69617	20.22028	14.57	B	0.84	0.64	114	
IC2426	G	134.62700	2.92550	15.17	B	0.61	0.44	119	
IC2427	G	135.25708	37.87544	15.56	B	0.74	0.61	98	
IC2428	G	135.81125	30.59133	14.60	B	1.61	0.41	76	
IC2429	G	135.92721	29.29600	14.61	V	0.59	0.41	146	
IC2430	G	136.09512	27.95300	14.38	B	0.96	0.50	40	
IC2431	GGroup	136.14729	14.59408			1.00			
IC2431 NED01	G	136.14400	14.59789	17.47	B	0.04	0.02	134	
IC2431 NED02	G	136.14467	14.59578	14.04	V	0.60	0.48	32	Browning
IC2431 NED03	G	136.14508	14.59342			0.45	0.33	5	
IC2431 NED04	G	136.14767	14.59506	17.44	B	0.28	0.23	98	
IC2432	G	136.16475	5.51206	15.59	B	0.82	0.30	131	
IC2433	G	136.36971	22.60222	15.22	B	0.82	0.40	109	
IC2434	G	136.81692	37.21528	14.49	B	1.30	0.63	19	
IC2435	G	136.70746	26.27544	14.96	B	0.88	0.39	116	
IC2437	G	136.38796	-19.20711	12.92	V	1.79	1.23	119	
IC2438	Other	138.53679	73.41736						
IC2439	G	137.16025	32.59294	16.06	V	1.40	0.42	31	
IC2441	GPair	137.50958	22.85333			0.90			
IC2441 NED01	G	137.50758	22.85506	15.29	B	0.63	0.24	155	
IC2441 NED02	G	137.51208	22.85178	15.78	B	0.66	0.47	162	
IC2442	G	137.52154	22.83833	15.33	B	0.83	0.78	155	
IC2443	G	137.87871	28.82658	14.21	V	0.66	0.57	12	
IC2444	G	138.21192	30.21228	15.23	B	0.82	0.71	48	
IC2445	G	138.30250	31.80786	15.25	B	0.76	0.41	18	
IC2446	G	138.38075	28.95175	13.64	V	1.49	0.61	147	
IC2448	PN	136.77608	-69.94183	10.40	V	0.15			
IC2450	G	139.27200	25.42917	13.93	B	1.35	0.72	156	
IC2451	G	138.94908	23.49642	15.77	B	0.93	0.71	105	
IC2452	G	138.98992	23.47225	15.68	B	0.68	0.31	132	
IC2453	G	138.97721	20.92889	15.37	B	0.72	0.41	62	
IC2454	G	139.00738	17.82069	14.44	B	0.97	0.68	100	
IC2456	G	139.35100	34.67439	15.65	B	0.63	0.45	54	
IC2457	G	139.26725	20.09350	16.21	B	0.55	0.40	75	
IC2459	G	139.74779	34.86219	15.78	B	0.66	0.38	118	
IC2461	G	139.99179	37.19125	14.77	B	2.41	0.51	143	
IC2462	G	140.73438	22.68636	16.06	B	0.69	0.25	62	
IC2463	G	140.75104	22.61856	15.79	B	0.54	0.44	103	
IC2464	G	140.84279	22.63025	15.25	B	0.80	0.54	147	
IC2465	G	140.88129	24.44569	15.09	B	0.97	0.56	89	
IC2466	G	140.93762	24.51844	15.44	B	0.83	0.49	92	
IC2467	G	141.21967	38.35175	14.77	B	0.95	0.92	45	
IC2468	G	141.25621	38.34403	16.09	B	0.51	0.47	60	
IC2469	G	140.75442	-32.44975	11.09	V	5.79	1.17	37	
IC2470	G	141.42217	23.36161	15.21	B	1.01	0.94	105	
IC2471	G	141.30071	-6.82992	14.40	B	1.08	0.52	151	
IC2472	G	141.64050	21.38503	15.49	B	0.62	0.51	4	
IC2473	G	141.84792	30.44081	14.69	B	1.08	0.74	92	
IC2474	G	141.79754	23.03428	15.75	B	0.59	0.22	96	
IC2475	G	141.97637	29.79186	15.61	B	1.01	0.34	111	
IC2476	G	141.97012	29.98575	14.24	B	1.30	1.04	40	
IC2477	G	142.07429	29.70606	14.65	V	0.60	0.43	172	
IC2478	G	142.00387	30.03697	15.56	B	0.57	0.42	140	
IC2479	G	142.01704	29.99144	15.50	B	0.58	0.33	152	
IC2481	G	141.87004	3.92961	14.48	B	0.83	0.47	161	
IC2482	G	141.74675	-12.10892	13.92	B	2.84	1.84	145	
IC2483	G	142.35746	30.99472	15.64	B	0.66	0.45	103	
IC2484	Other	141.70950	-42.84281						
IC2485	Other	141.79950	-39.28472						
IC2486	G	142.57237	26.64128	14.98	B	0.92	0.62	135	
IC2487	G	142.53821	20.09086	14.13	B	1.84	0.46	164	
IC2488	OCl	141.90929	-57.00694	7.40	V	7.20			
IC2489	Other	142.79846	-5.88417						
IC2490	G	143.26521	29.92836	14.60	B	0.97	0.65	177	
IC2491	G	143.80925	34.73167	14.90	B	0.87	0.61	74	
IC2492	G	143.31196	-37.86633	15.72	B	0.76	0.31	48	
IC2493	G	144.07308	37.36400	14.75	B	0.97	0.72	1	
IC2495	G	144.53079	28.05767	14.74	B	0.73	0.30	11	
IC2496	G	144.68542	34.72678	15.44	B	0.73	0.43	33	
IC2497	G	145.26704	34.73272	15.78	B	0.72	0.38	115	
IC2498	G	145.34142	28.11447	15.30	B	0.83	0.31	25	
IC2499	G	145.35262	27.89525	16.21	B	0.63	0.26	125	
IC2500	G	145.59737	36.34969	14.94	B	1.35	0.43	164	
IC2501	PN	144.69658	-60.09186	10.40	V	0.03			
IC2502	G	145.81417	35.16053	15.57	B	0.55	0.52	75	
IC2503	G	145.81600	35.20622	16.49	B	0.42	0.28	100	
IC2504	Other	144.64092	-69.08511						
IC2505	G	146.27896	27.26858	15.82	B	0.75	0.55	18	
IC2506	G	146.30321	27.25200	15.71	B	0.55	0.41	79	
IC2507	G	146.14125	-31.79000	13.34	B	1.74	0.86	48	
IC2508	G	146.77950	33.50806	15.78	B	0.69	0.44	19	
IC2510	G	146.93117	-32.83744	15.50	B	1.59	0.86	148	
IC2511	G	147.35229	-32.83919	13.09	B	4.22	0.81	43	
IC2513	G	147.50329	-32.88283	13.30	B	3.39	0.68	63	
IC2515	G	148.66425	37.40858	14.95	B	1.13	0.40	174	
IC2516	G	148.70150	37.68694	14.89	B	0.97	0.87	13	
IC2517	G	148.21113	-33.74194	15.45	B	0.68	0.56	98	
IC2518	G	148.99387	37.15553	15.77	B	0.70	0.53	110	
IC2519	G	148.99504	34.03658	15.48	B	0.35	0.25	90	
IC2520	G	149.08383	27.22758	14.31	B	0.88	0.74	57	
IC2521	G	149.31562	33.97631	15.63	B	0.61	0.57	15	
IC2522	G	148.78733	-33.13714	12.00	V	2.30	1.74	180	
IC2523	G	148.78967	-33.21022	13.63	B	1.43	0.86	30	
IC2524	G	149.38692	33.61972	14.76	B	0.74	0.44	64	
IC2525	G	149.60400	37.10186	15.81	B	0.65	0.61	55	
IC2526	G	149.26262	-32.25686	13.66	B	2.07	0.70	56	
IC2527	G	150.02704	38.17219	15.55	B	0.57	0.48	123	
IC2530	G	150.37942	37.20394	14.96	B	0.97	0.94	20	
IC2531	G	149.98237	-29.61697	12.22	V	6.55	0.60	74	
IC2532	G	150.02250	-34.22828	14.04	B	2.04	1.12	36	
IC2533	G	150.13196	-31.24500	11.97	V	2.04	1.45	180	
IC2534	G	150.37442	-34.11242	13.41	B	1.84	1.25	98	
IC2535	G	151.13262	38.00603	14.77	B	0.85	0.74	75	
IC2536	G	150.87592	-33.94975	14.55	B	1.88	0.40	45	
IC2537	G	150.96621	-27.57086	12.22	V	2.61	1.82	17	
IC2538	G	150.98538	-34.80753	15.00	B	1.49	0.75	180	
IC2539	G	151.06754	-31.36294	14.06	B	1.98	0.56	25	
IC2540	G	151.69463	31.47572	15.20	B	0.91	0.59	158	
IC2541	G	151.45004	-17.43456	13.88	B	1.47	0.64	4	
IC2542	G	151.96058	34.31531	14.53	B	1.04	0.77	171	
IC2543	GPair	152.09917	37.84278			0.80			
IC2543 NED01	G	152.09817	37.84153	15.73	B	0.74	0.29	134	
IC2543 NED02	G	152.09987	37.84422	17.51	B	0.20	0.14	6	
IC2544	G	152.12387	33.34639	15.32	B	0.52	0.40	65	
IC2546	G	151.77467	-33.26136	15.60	B	0.83	0.60	95	
IC2547	G	152.51871	36.50244	15.62	B	0.82	0.36	121	
IC2548	G	151.97896	-35.22961	14.04	B	2.17	1.42	70	
IC2549	G	152.54233	36.46486	15.88	B	0.47	0.32	143	
IC2550	G	152.61633	27.95611	14.48	B	0.93	0.68	109	
IC2551	G	152.66800	24.41414	14.53	B	0.76	0.56	36	
IC2552	G	152.69225	-34.84469	12.06	V	1.87	1.68	89	
IC2553	PN	152.33696	-62.61369	10.30	V	0.15			
IC2554	G	152.21067	-67.03086	11.70	V	3.31	1.29	8	
IC2556	G	153.15679	-34.72886	14.26	B	1.83	0.95	119	
IC2557	G	154.02446	38.10922	15.60	B	0.60	0.41	95	
IC2558	G	153.68392	-34.33872	13.74	V	1.01	0.61	17	
IC2559	G	153.68912	-34.05881	14.42	B	1.69	0.53	17	
IC2560	G	154.07800	-33.56381	12.06	V	3.55	1.67	46	
IC2561	G	154.78587	34.67503	14.81	B	0.89	0.55	14	
IC2562	G	154.72708	16.15553	14.97	B	0.66	0.44	166	
IC2563	G	154.71637	-32.59656	15.56	B	0.91	0.38	110	
IC2564	G	155.36542	36.45206	15.83	B	0.71	0.60	50	
IC2565	G	155.32446	27.93008	15.14	B	0.67	0.42	70	
