# id	type	ra	dec	mag	band	majax	minax	pa	name
# OpenNGC (Mattia Verga), CC-BY-SA-4.0. J2000. Axes in arcminutes, angles in degrees.
# mag is V where measured and B otherwise; `band` says which. See NOTICE.txt.
IC0108	G	21.16233	-12.63558	15.48	B	1.30	0.36	4	
IC0109	G	21.30454	2.06622	14.87	B	0.76	0.57	70	
IC0110	Other	21.44417	33.51469						
IC0111	Other	21.50054	33.49711						
IC0112	G	21.51258	11.44297	14.17	B	0.72	0.37	127	
IC0113	G	21.60625	19.19197			0.35	0.26	160	
IC0114	G	21.59408	9.90994	15.62	B	1.40	0.56	154	
IC0115	G	21.72683	19.21469	14.03	V	0.76	0.76	80	
IC0116	G	21.71071	-4.98228	14.62	B	0.87	0.56	125	
IC0118	G	21.90017	-4.99747	15.81	B	0.72	0.55	31	
IC0119	G	21.97925	-2.04047	15.18	B	1.19	0.58	77	
IC0120	G	22.05400	-1.91553	15.12	B	0.92	0.33	138	
IC0121	G	22.09075	2.51303	14.25	B	1.00	0.62	108	
IC0122	G	22.05500	-14.83889	15.96	B	0.65	0.32	14	
IC0123	G	22.21442	2.44644	15.16	V	0.67	0.47	44	
IC0125	G	22.32646	-13.27983	16.18	B	0.61	0.59	53	
IC0126	G	22.44942	-1.98375	15.66	B	0.89	0.81	30	
IC0127	G	22.44838	-6.98006	9.20	V	1.69	0.45	110	
IC0128	G	22.84946	-12.62439	15.35	B	0.82	0.61	165	
IC0129	G	22.88025	-12.65439	15.28	B	1.23	0.60	63	
IC0130	G	22.86975	-15.59161	15.49	B	0.75	0.64	27	
IC0131	HII	23.31075	30.75325	12.52	B	0.30			
IC0132	HII	23.31633	30.94561	14.82	V	0.67	0.55		
IC0133	HII	23.31325	30.88839	18.45	V	0.45	0.45		
IC0135	HII	23.56471	30.62008			0.40			
IC0136	*Ass	23.56683	30.56206	11.04	B				
IC0137	*Ass	23.41212	30.52250						
IC0138	G	23.25825	-0.68983	14.72	B	1.12	0.74	23	
IC0139	*Ass	23.49683	30.56744	13.10	B				
IC0140	*Ass	23.49237	30.55014						
IC0141	G	23.21546	-14.81461	14.33	B	1.23	0.91	5	
IC0142	HII	23.48137	30.75781	14.20	V	0.50			
IC0143	HII	23.54554	30.77642	11.40	B	0.30			
