8414721	44.4717	-68.8133	T	Fort Point, Penobscot River, ME
8414776	44.0433	-68.8400	T	Vinalhaven, Vinalhaven Island, ME
8414781	44.6367	-68.8417	T	Winterport, ME
8414856	44.1267	-68.8733	T	North Haven, ME
8414876	43.8617	-68.8817	T	Matinicus Harbor, Wheaton Island, ME
8414888	44.1567	-68.8867	T	Pulpit Harbor, North Haven Island, ME
8415191	44.4267	-69.0050	T	Belfast, ME
8415490	44.1050	-69.1017	T	Rockland, ME
8415709	44.0717	-69.1817	T	Thomaston, ME
8415809	43.9650	-69.2167	T	Tenants Harbor, ME
8415867	43.9867	-69.2367	T	Otis Cove, ME
8415933	43.9250	-69.2600	T	Port Clyde, ME
8416028	43.8717	-69.2950	T	Burnt Island, Georges Islands, ME
8416092	43.7650	-69.3217	T	Monhegan Island, ME
8416141	43.9700	-69.3417	T	Friendship Harbor, ME
8416224	44.0933	-69.3767	T	Waldoboro, ME
8416232	44.0150	-69.3800	T	Jones Neck, ME
8416381	43.9667	-69.4417	T	Muscongus Harbor, Muscongus Sound, ME
8416501	43.8750	-69.4917	T	New Harbor, Muscongus Bay, ME
8416581	43.8767	-69.5250	T	Pemaquid Harbor, Johns Bay, ME
8416608	44.0333	-69.5367	T	Newcastle, ME
8416721	43.8650	-69.5833	T	East Boothbay, ME
8416731	43.9333	-69.5800	T	Walpole, ME
8416796	43.7583	-69.6150	T	Damariscove Harbor, Damariscove Island, ME
8416804	44.0500	-69.6183	T	Sheepscot (below rapids), ME
8416828	43.8500	-69.6283	T	Boothbay Harbor, ME
8416908	43.8467	-69.6617	T	Southport, Townsend Gut, ME
8416921	44.0000	-69.6667	T	Wiscasset, ME
8416928	43.9250	-69.6700	T	Cross River entrance, ME
8416961	43.9583	-69.6833	T	Back River, ME
8416968	43.8600	-69.6867	T	Isle of Springs, ME
8417067	43.8533	-69.7333	T	Robinhood, Sasanoa River, ME
8417127	43.8867	-69.7633	T	Mill Point, Sasanoa River, ME
8417134	44.2333	-69.7667	T	Gardiner, ME
8417177	43.7550	-69.7850	T	Fort Popham, Hunniwell Point, ME
8417208	44.0883	-69.7983	T	Richmond, ME
8417221	43.8183	-69.8100	T	Phippsburg, ME
8417227	43.9250	-69.8150	T	Bath, ME
8417271	43.9817	-69.8350	T	Sturgeon Island, Merrymeeting Bay, ME
8417367	43.8900	-69.8833	T	Howard Point, New Meadows River, ME
8417377	43.9500	-69.8883	T	Androscoggin River entrance, ME
